ccode,year,cabbr,count,latitude,longitude,literacy,refugees,lnRefs,lnGDP,lnTrade,PolityLag
433,2005,,0,14.45407963,-14.23445034,42,20712,9.938468933,7.344053268,4.240636826,8
433,2006,,0,14.45407963,-14.23445034,43,,,7.34159565,4.236856937,8
433,2007,,0,14.45407963,-14.23445034,44,,,7.360677242,4.212360859,8
434,1995,,0,9.616513252,2.552923918,32,23800,10.07744122,6.963342667,3.974092722,
434,1996,,0,9.616513252,2.552923918,33,6000,8.699514389,6.985414982,3.813611984,6
434,1997,BEN,0,9.616513252,2.552923918,34,2900,7.972465992,7.014843941,3.805648088,6
434,1998,,0,9.616513252,2.552923918,35,2900,7.972465992,7.029833794,3.797499895,6
434,1999,BEN,0,9.616513252,2.552923918,36,3700,8.216088295,7.046040058,3.805982113,6
434,2000,,0,9.616513252,2.552923918,37.5,4300,8.366370201,7.071763992,3.768097639,6
434,2001,BEN,0,9.616513252,2.552923918,39,4800,8.476370811,7.088844299,3.763065577,6
434,2002,,0,9.616513252,2.552923918,40.5,5000,8.517192841,7.10047102,3.714261055,6
434,2003,,0,9.616513252,2.552923918,42,5000,8.517192841,7.106054783,3.693992376,6
434,2004,,0,9.616513252,2.552923918,43.5,4802,8.476787567,7.10414505,3.673230648,6
434,2005,,0,9.616513252,2.552923918,45,30294,10.31870461,7.100876331,3.678210258,6
434,2006,,0,9.616513252,2.552923918,46.5,,,7.106939793,,6
434,2007,,0,9.616513252,2.552923918,48,,,7.122027397,,7
435,1995,,0,20.27243996,-10.07207966,38,34400,10.44581223,7.392466545,4.406758308,
435,1996,,0,20.27243996,-10.07207966,38.5,15900,9.674074173,7.421055317,4.378165722,-6
435,1997,MRT,0,20.27243996,-10.07207966,39,7500,8.922657967,7.351554871,4.232760429,-6
435,1998,,0,20.27243996,-10.07207966,39.5,0,3.044522524,7.350483418,4.64769125,-6
435,1999,MRT,0,20.27243996,-10.07207966,40,200,5.298317432,7.386298656,4.572994709,-6
435,2000,,0,20.27243996,-10.07207966,40.5,400,5.991464615,7.375618458,4.791474819,-6
435,2001,MRT,0,20.27243996,-10.07207966,41,400,5.991464615,7.374889851,4.460161209,-6
435,2002,,0,20.27243996,-10.07207966,41.5,400,5.991464615,7.356486797,4.494277954,-6
435,2003,,0,20.27243996,-10.07207966,42,500,6.214608192,7.381835938,4.457909584,-6
435,2004,,0,20.27243996,-10.07207966,42.5,473,6.159095287,7.403823376,4.706017971,-6
435,2005,,0,20.27243996,-10.07207966,43,632,6.448889256,7.429153919,4.879775524,-6
435,2006,,0,20.27243996,-10.07207966,43.5,,,7.512984276,4.733293533,-5
435,2007,,0,20.27243996,-10.07207966,44,,,7.506712437,4.808208942,-3
436,1995,,0,17.42163086,9.579330444,13,27600,10.22557068,6.382286549,3.724876881,
436,1996,,1,17.42163086,9.579330444,13.5,25800,10.15812969,6.380023956,3.699041605,8
436,1997,NER,2,17.42163086,9.579330444,14,7400,8.909235001,6.370975971,3.699604034,-6
436,1998,,0,17.42163086,9.579330444,14.5,3700,8.216088295,6.433789253,3.786287308,-6
436,1999,NER,0,17.42163086,9.579330444,15,400,5.991464615,6.391889572,3.644996405,-6
436,2000,,0,17.42163086,9.579330444,16,100,4.60517025,6.341783524,3.772628069,5
436,2001,NER,0,17.42163086,9.579330444,17,100,4.60517025,6.374843597,3.726554871,5
436,2002,,0,17.42163086,9.579330444,18,300,5.703782558,6.369106293,3.671677828,5
436,2003,,0,17.42163086,9.579330444,19,300,5.703782558,6.377075672,3.753467083,5
436,2004,,0,17.42163086,9.579330444,20,344,5.840641499,6.333777905,3.792626143,5
436,2005,,0,17.42163086,9.579330444,21,301,5.707110405,6.37029314,3.692446709,6
436,2006,,0,17.42163086,9.579330444,22,,,6.385672092,,6
436,2007,,1,17.42163086,9.579330444,23,,,6.384347916,,6
437,1995,,0,7.611573219,-5.326016903,44,297900,12.60451317,7.447697163,4.333392143,
437,1996,,0,7.611573219,-5.326016903,45,327700,12.6998539,7.493477821,4.297547817,-6
437,1997,CIV,0,7.611573219,-5.326016903,46,208500,12.24769402,7.521339893,4.310934067,-6
437,1998,,0,7.611573219,-5.326016903,47,151200,11.92635918,7.541432858,4.283056259,-6
437,1999,CIV,0,7.611573219,-5.326016903,48,138400,11.83790302,7.532877922,4.284072399,-6
437,2000,,0,7.611573219,-5.326016903,49,120700,11.70106316,7.473235607,4.300696373,-1
437,2001,CIV,0,7.611573219,-5.326016903,50,126200,11.74562359,7.453527927,4.321571827,4
437,2002,,1,7.611573219,-5.326016903,51,44700,10.70772839,7.421632767,4.423983574,4
437,2003,,1,7.611573219,-5.326016903,52,76000,11.2384882,7.389658451,4.39133215,0
437,2004,,1,7.611573219,-5.326016903,53,72088,11.1856432,7.391259193,4.47631979,0
437,2005,,0,7.611573219,-5.326016903,54,41627,10.63650417,7.386229515,4.551226139,0
437,2006,,0,7.611573219,-5.326016903,55,,,7.366037369,4.540920258,0
437,2007,,0,7.611573219,-5.326016903,56,,,7.364979744,4.496581554,0
438,1995,,0,10.40079975,-10.65598011,36,672300,13.41845989,6.824769497,3.820876122,
438,1996,,0,10.40079975,-10.65598011,36,663900,13.40588665,6.847149372,3.773684025,-1
438,1997,GIN,0,10.40079975,-10.65598011,36,435300,12.9837904,6.868150234,3.747503757,-1
438,1998,,0,10.40079975,-10.65598011,36,482500,13.08673573,6.893929005,3.875580311,-1
438,1999,GIN,0,10.40079975,-10.65598011,36,501500,13.12535858,6.919798851,3.864366293,-1
438,2000,,1,10.40079975,-10.65598011,36,427200,12.96500778,6.919238567,3.940997601,-1
438,2001,,1,10.40079975,-10.65598011,36,178400,12.09178352,6.939394951,3.999296665,-1
438,2002,,0,10.40079975,-10.65598011,36,182200,12.11286068,6.962053299,3.968145847,-1
438,2003,,0,10.40079975,-10.65598011,36,184300,12.12432003,6.963973045,3.848691702,-1
438,2004,,0,10.40079975,-10.65598011,36,139252,11.84404087,6.972158909,3.83039999,-1
438,2005,,0,10.40079975,-10.65598011,36,63525,11.05918884,6.985823631,4.085077763,-1
438,2006,,0,10.40079975,-10.65598011,36,,,6.987621784,4.245448589,-1
438,2007,,0,10.40079975,-10.65598011,36,,,6.981171608,4.34027195,-1
439,1995,,0,13,-2,,29800,10.30226326,6.617933273,3.707393885,
439,1996,,0,13,-2,,28400,10.25414467,6.693696976,3.642319679,-5
439,1997,,0,13,-2,,1800,7.495542049,6.726479053,3.622109652,-5
439,1998,,0,13,-2,,600,6.396929741,6.768354893,3.712102413,-4
439,1999,,0,13,-2,,700,6.551080227,6.810398102,3.512282372,-4
439,2000,,0,13,-2,,700,6.551080227,6.798292637,3.534113169,-4
439,2001,,0,13,-2,,500,6.214608192,6.831165791,3.477208376,-3
439,2002,,0,13,-2,,500,6.214608192,6.844828129,3.400951862,0
439,2003,,0,13,-2,,500,6.214608192,6.889732838,3.418344498,0
439,2004,,0,13,-2,,492,6.198478699,6.903052807,3.555814505,0
439,2005,,0,13,-2,,511,6.23636961,6.933575153,3.57242012,0
439,2006,,0,13,-2,,,,6.957105637,3.646393299,0
439,2007,,0,13,-2,,,,6.967367649,,0
450,1995,,1,6.425350189,-9.062141418,,120100,11.69608021,4.918728828,,
450,1996,,0,6.425350189,-9.062141418,,120100,11.69608021,4.970569134,,0
450,1997,,0,6.425350189,-9.062141418,,126900,11.7511549,5.612775803,4.391612053,0
450,1998,,0,6.425350189,-9.062141418,,96300,11.47522354,5.787052155,3.914799929,0
450,1999,,0,6.425350189,-9.062141418,,96300,11.47522354,5.919063568,4.029353142,0
450,2000,,1,6.425350189,-9.062141418,,69300,11.14620018,6.092569351,3.859875441,0
450,2001,LBR,1,6.425350189,-9.062141418,81,54800,10.91144562,6.085974216,4.002573013,0
450,2002,,1,6.425350189,-9.062141418,,65000,11.08214283,6.10178566,3.86714077,0
450,2003,,1,6.425350189,-9.062141418,,3400,8.131530762,5.71274519,4.347084999,0
450,2004,,0,6.425350189,-9.062141418,,15172,9.627206802,5.72125721,4.482252598,1
